species,latitude,longitude
Conepatus chinga,-29.91261,-51.66703
Cerdocyon thous,-30.16355,-57.4238
Chrysocyon brachyurus,-23.00839,-48.7101
Cerdocyon thous,-23.33259,-48.18635
Cerdocyon thous,-26.36264,-51.33499
Cerdocyon thous,-28.65539,-49.34781
Procyon cancrivorus,-23.0387,-43.55925
Galictis cuja,-28.20068,-54.32231
Cerdocyon thous,-26.41664,-48.96543
Cerdocyon thous,-23.14273,-47.35446
Conepatus chinga,-30.22727,-52.67666
Galictis cuja,-30.377,-53.79551
Procyon cancrivorus,-20.76491,-49.68534
Conepatus sp.,-28.33538,-49.66646
Cerdocyon thous,-16.3796,-42.16553
Chrysocyon brachyurus,-21.68237,-47.60223
Cerdocyon thous,-15.9308,-48.84419
Conepatus sp.,-28.35935,-49.59017
Nasua nasua,-15.40605,-55.99885
Procyon cancrivorus,-6.991524,-37.18779
Lycalopex vetulus,-21.51645,-48.53912
Procyon cancrivorus,-19.92279,-47.68251
Cerdocyon thous,-21.56232,-47.12185
Herpailurus yagouaroundi,-22.36673,-52.27661
Conepatus sp.,-18.10231,-48.18016
Leopardus pardalis,-10.69308,-55.12396
Cerdocyon thous,-18.59512,-52.62754
Herpailurus yagouaroundi,-22.10456,-41.69073
Lontra longicaudis,-32.73889,-52.64253
Cerdocyon thous,-28.1311,-54.62011
Nasua nasua,-13.43607,-49.1437
Puma concolor,-20.44924,-55.15728
Nasua nasua,-12.41248,-37.92888
Cerdocyon thous,-28.39475,-53.96017
Cerdocyon thous,-18.34034,-48.15567
Procyon cancrivorus,-18.57066,-52.38496
Leopardus pardalis,-7.20708,-34.9091
Conepatus semistriatus,-18.51858,-52.62739
Cerdocyon thous,-21.41433,-46.76438
Cerdocyon thous,-18.39192,-39.73696
Cerdocyon thous,-21.05925,-49.72969
Eira barbara,-19.81892,-46.84474
Procyon cancrivorus,-21.26388,-56.37573
Conepatus semistriatus,-21.29525,-47.37846
Cerdocyon thous,-16.76162,-54.26062
Cerdocyon thous,-21.40403,-46.86565
Cerdocyon thous,-16.76183,-54.26053
Procyon cancrivorus,-17.27483,-53.27698
Galictis cuja,-22.54141,-52.19872
Cerdocyon thous,-21.95648,-42.73645
Cerdocyon thous,-21.95647,-42.73633
Lycalopex sp.,-21.06968,-44.75782
Conepatus chinga,-28.64626,-53.18182
Cerdocyon thous,-20.5584,-48.64774
Cerdocyon thous,-14.47618,-47.50892
Cerdocyon thous,-14.32233,-47.51473
Conepatus sp.,-14.72337,-47.53336
Cerdocyon thous,-6.497098,-49.84152
Galictis sp.,-20.1829,-48.03304
Galictis cuja,-28.70965,-51.2293
Procyon cancrivorus,-30.00879,-56.34275
Leopardus sp.,-23.1611,-49.38004
Cerdocyon thous,-18.4169,-52.70607
Procyon cancrivorus,-7.083867,-49.92831
Cerdocyon thous,-27.70676,-54.53482
Procyon cancrivorus,-15.51205,-52.20377
Nasua nasua,-15.09033,-52.21807
Cerdocyon thous,-23.12235,-44.70749
Galictis sp.,-21.22863,-44.987
Cerdocyon thous,-5.197789,-35.46004
Lycalopex gymnocercus,-29.87066,-55.9798
Leopardus geoffroyi,-30.0805,-55.28321
Cerdocyon thous,-5.144401,-35.54929
Procyon cancrivorus,-14.64795,-57.46688
Cerdocyon thous,-13.80362,-56.02929
Cerdocyon thous,-25.59344,-54.51385
Galictis cuja,-27.28086,-50.06836
Cerdocyon thous,-20.66882,-49.62772
Procyon cancrivorus,-28.41227,-51.04271
Cerdocyon thous,-10.75248,-62.16637
Galictis cuja,-22.98442,-49.62858
Eira barbara,-12.91922,-60.38018
Cerdocyon thous,-28.31654,-51.35658
Procyon cancrivorus,-8.775045,-63.49172
Nasua nasua,-25.61204,-54.48477
Cerdocyon thous,-7.532936,-38.43666
Cerdocyon thous,-27.32425,-51.98153
Cerdocyon thous,-18.55451,-52.17174
Procyon cancrivorus,-20.7833,-49.633540000000004
Leopardus sp.,-21.59984,-45.79761
Lycalopex gymnocercus,-29.98639,-51.53241
Lycalopex gymnocercus,-29.32022,-50.74622
Eira barbara,-2.553143,-60.03373
Cerdocyon thous,-20.21683,-45.67954
Cerdocyon thous,-16.8297,-54.01402
Nasua nasua,-22.50841,-50.27187
Nasua nasua,1.996098,-61.06898
Cerdocyon thous,-20.98887,-44.86637
Conepatus semistriatus,-19.5555,-45.62376
Chrysocyon brachyurus,-21.10921,-51.94299
Cerdocyon thous,-15.00511,-56.37075
Cerdocyon thous,-22.48944,-43.0069
Procyon cancrivorus,-16.10478,-57.29717
Conepatus semistriatus,-19.54136,-45.61798
Cerdocyon thous,-19.66538,-45.65309
Cerdocyon thous,-32.2118,-52.45612
Cerdocyon thous,-18.4547,-52.60652
Cerdocyon thous,-6.217098,-43.85236
Cerdocyon thous,-18.53207,-52.63126
Lycalopex vetulus,-8.477501,-41.21262
Chrysocyon brachyurus,-18.8687,-48.56301
Herpailurus yagouaroundi,-22.42835,-42.02338
Cerdocyon thous,-11.3653,-55.33797
Cerdocyon thous,-13.39564,-39.89722
Cerdocyon thous,-6.157957,-36.51242
Leopardus pardalis,-20.90771,-54.13343
Nasua nasua,-21.17139,-47.29453
Cerdocyon thous,-30.11273,-50.44231
Cerdocyon thous,-21.78965,-48.2582
Cerdocyon thous,-18.37013,-49.21291
Cerdocyon thous,-33.35214,-53.16752
Procyon cancrivorus,-33.05371,-52.87308
Procyon cancrivorus,-31.5955,-53.33472
Cerdocyon thous,-31.39316,-53.82748
Cerdocyon thous,-11.02828,-37.42396
Cerdocyon thous,-11.02826,-37.42399
Cerdocyon thous,-19.73145,-41.81687
Cerdocyon thous,-28.12448,-54.73012
Cerdocyon thous,-19.38646,-53.5953
Leopardus guttulus,-18.57343,-43.48789
Cerdocyon thous,-9.215453,-41.06312
Lontra longicaudis,-23.98888,-51.47554
Cerdocyon thous,-9.721259,-42.28857
Conepatus semistriatus,-18.19181,-51.92096
Cerdocyon thous,-17.41894,-52.62777
Leopardus tigrinus,-9.216791,-40.54734
Leopardus tigrinus,-14.13127,-42.39316
Cerdocyon thous,-15.45519,-55.75317
Cerdocyon thous,-14.16845,-42.49342
Lycalopex vetulus,-19.52515,-49.61372
Cerdocyon thous,-6.381945,-43.98013
Leopardus guttulus,-28.73912,-53.59678
Procyon cancrivorus,-3.356646,-44.4677
Procyon cancrivorus,-26.70962,-51.44882
Lycalopex gymnocercus,-28.82586,-53.61353
Cerdocyon thous,-5.470915,-44.45511
Conepatus chinga,-33.61181,-53.40293
Lycalopex sp.,-5.303094,-37.33056
Cerdocyon thous,-18.58583,-52.62798
Cerdocyon thous,-18.58431,-52.62808
Galictis sp.,-19.26597,-48.12844
Procyon cancrivorus,-11.21637,-58.64831
Cerdocyon thous,-18.59851,-52.62729
Procyon cancrivorus,-11.06193,-58.669
Cerdocyon thous,-20.27788,-43.74829
Leopardus pardalis,-20.17544,-56.53649
Cerdocyon thous,-19.97967,-50.25215
Procyon cancrivorus,-20.04651,-52.41201
Leopardus sp.,-21.68119,-47.44195
Leopardus sp.,-27.03645,-51.72017
Cerdocyon thous,-27.77426,-51.4467
Cerdocyon thous,-27.77424,-51.44674
Galictis cuja,-28.62358,-50.68344
Cerdocyon thous,-16.39594,-39.4644
Lycalopex gymnocercus,-27.48512,-51.42602
Procyon cancrivorus,-13.93774,-50.31947
Procyon cancrivorus,-17.53745,-51.10608
Procyon cancrivorus,-11.45574,-48.9927
Cerdocyon thous,-12.08159,-49.61631
Lycalopex sp.,-7.455257,-40.67041
Conepatus semistriatus,-18.6376,-52.80224
Procyon cancrivorus,-17.32852,-51.85617
Procyon cancrivorus,-27.77023,-54.48203
Cerdocyon thous,-28.34128,-52.27514
Conepatus semistriatus,-8.551095,-40.36118
Cerdocyon thous,-28.51354,-50.86142
Conepatus chinga,-28.54833,-50.78911
Cerdocyon thous,-18.53083,-52.631100000000004
Lycalopex gymnocercus,-27.54622,-51.4297
Cerdocyon thous,-23.04358,-49.7192
Conepatus chinga,-28.60005,-50.7221
Procyon cancrivorus,-28.64351,-50.59016
Procyon cancrivorus,-27.8378,-54.62259
Cerdocyon thous,-17.82032,-51.21554
Cerdocyon thous,-11.05381,-55.27204
Cerdocyon thous,-17.85179,-51.51908
Procyon cancrivorus,-17.84179,-51.44681
Eira barbara,-21.05003,-51.92215
Procyon cancrivorus,-30.11898,-50.62492
Cerdocyon thous,-22.08275,-42.81348
Conepatus semistriatus,-7.072681,-39.85161
Cerdocyon thous,-20.31923,-50.30717
Cerdocyon thous,-7.118413,-40.28226
Cerdocyon thous,-23.25618,-51.40104
Cerdocyon thous,-27.75531,-51.45584
Cerdocyon thous,-20.63398,-50.69731
Cerdocyon thous,-20.64034,-50.32362
Cerdocyon thous,-17.84117,-51.44422
Cerdocyon thous,-17.86028,-51.55987
Cerdocyon thous,-17.83975,-51.43416
Procyon cancrivorus,-17.87035,-51.60819
Cerdocyon thous,-21.19784,-44.3325
Cerdocyon thous,-14.39078,-50.43866
Procyon cancrivorus,-15.80429,-50.12169
Lycalopex gymnocercus,-29.85637,-55.64121
Leopardus geoffroyi,-30.54407,-52.56796
Cerdocyon thous,-13.8651,-50.33338
Cerdocyon thous,-15.50725,-50.30281
Cerdocyon thous,-14.26228,-50.39853
Cerdocyon thous,-12.77219,-49.90084
Lycalopex sp.,-12.95321,-49.84732
Leopardus geoffroyi,-30.22648,-55.0321
Cerdocyon thous,-11.13949,-49.4168
Lycalopex gymnocercus,-30.01521,-56.21973
Lycalopex gymnocercus,-30.02434,-56.27166
Cerdocyon thous,-29.9594,-54.45238
Lycalopex gymnocercus,-30.01334,-56.37177
Cerdocyon thous,-22.42685,-42.01695
Nasua nasua,-14.91571,-56.36876
Lycalopex sp.,-6.9953,-37.1946
Cerdocyon thous,-15.86712,-51.57672
Cerdocyon thous,-19.5667,-49.89518
Cerdocyon thous,-25.30326,-54.13146
Cerdocyon thous,-15.90697,-52.03892
Cerdocyon thous,-10.45703,-49.18485
Cerdocyon thous,-17.78131,-48.16391
Cerdocyon thous,-22.38999,-48.36099
Cerdocyon thous,-20.51373,-52.63383
Cerdocyon thous,-27.36068,-51.31747
Cerdocyon thous,-15.82532,-39.52989
Cerdocyon thous,-15.47886,-39.90571
Leopardus sp.,-28.31742,-51.35287
Leopardus sp.,-15.49213,-39.89945
Conepatus chinga,-33.5733,-53.37644
Conepatus chinga,-33.60925,-53.31945
Galictis cuja,-24.65665,-53.64552
Cerdocyon thous,-28.12639,-54.75449
Cerdocyon thous,-22.20387,-42.89701
Procyon cancrivorus,-11.8183,-46.63262
Cerdocyon thous,-19.47917,-40.63554
Leopardus sp.,-11.53591,-46.5596
Eira barbara,-28.38401,-49.46081
Cerdocyon thous,-28.61793,-48.9953
Cerdocyon thous,-13.6848,-47.22487
Nasua nasua,-4.315025,-47.62861
Lycalopex gymnocercus,-33.5768,-53.35843
Cerdocyon thous,-15.79081,-47.64163
Cerdocyon thous,-28.12371,-54.75038
Cerdocyon thous,-15.79045,-47.64178
Cerdocyon thous,-21.24898,-45.35121
Leopardus pardalis,-20.40615,-49.12544
Cerdocyon thous,-20.44619,-49.08905
Conepatus chinga,-33.58912,-53.34338
Cerdocyon thous,-21.50478,-42.60843
Cerdocyon thous,-27.53337,-52.1724
Lycalopex vetulus,-19.77795,-48.58
Cerdocyon thous,-28.6612,-49.35261
Leopardus sp.,-28.6612,-49.35261
Procyon cancrivorus,-20.62512,-45.36473
Conepatus semistriatus,-14.59659,-41.29801
Cerdocyon thous,-21.45657,-46.91508
Cerdocyon thous,-24.80821,-47.9041
Leopardus sp.,-25.60706,-54.49324
Chrysocyon brachyurus,-10.45158,-48.31558
Cerdocyon thous,-21.04151,-46.9861
Cerdocyon thous,-21.74441,-55.01219
Nasua nasua,-6.471376,-49.84502
Procyon cancrivorus,-18.42119,-52.61635
Cerdocyon thous,-18.49828,-52.62069
Nasua nasua,-10.19115,-48.5396
Procyon cancrivorus,-24.11961,-51.66587
Nasua nasua,-23.47513,-48.66133
Leopardus guttulus,-29.65052,-52.20565
Cerdocyon thous,-12.95029,-38.62627
Cerdocyon thous,-29.85376,-55.6461
Lycalopex gymnocercus,-30.01459,-56.37954
Procyon cancrivorus,-30.01784,-56.39992
Lontra longicaudis,-20.22828,-56.39538
Cerdocyon thous,-18.49592,-52.61993
Lycalopex vetulus,-19.86997,-47.46059
Procyon cancrivorus,-31.51674,-51.27287
Cerdocyon thous,-23.61154,-50.77179
Nasua nasua,-16.40502,-49.50235
Nasua nasua,-13.03304,-48.55455
Cerdocyon thous,-7.005348,-37.99475
Procyon cancrivorus,-30.00192,-56.49729
Lycalopex gymnocercus,-29.83937,-54.17693
Cerdocyon thous,-6.857733,-37.7401
Cerdocyon thous,-6.73435,-37.91237
Procyon cancrivorus,-22.75058,-50.18744
Galictis cuja,-23.85415,-51.16269
Cerdocyon thous,-20.96283,-49.42645
Conepatus semistriatus,-17.73297,-48.13591
Lycalopex gymnocercus,-14.4665,-56.24735
Cerdocyon thous,-6.537696,-47.49138
Cerdocyon thous,-27.59391,-53.34447
Procyon cancrivorus,-29.41495,-50.47741
Conepatus semistriatus,-14.01603,-42.53142
Cerdocyon thous,-10.78121,-48.06664
Cerdocyon thous,-22.23743,-54.31046
Cerdocyon thous,-29.26656,-50.30538
Conepatus chinga,-28.43837,-51.63695
Cerdocyon thous,-4.071503,-45.90695
Procyon cancrivorus,-19.71874,-50.19782
Cerdocyon thous,-24.47574,-54.13318
Cerdocyon thous,-21.82029,-49.02299
Procyon cancrivorus,-14.76921,-46.6819
Leopardus pardalis,-14.76956,-46.68215
Cerdocyon thous,-21.33183,-45.86025
Cerdocyon thous,-22.66239,-51.88027
Conepatus sp.,-21.39145,-44.97343
Cerdocyon thous,-23.01081,-49.63026
Cerdocyon thous,-14.14821,-56.89204
Lycalopex vetulus,-21.45675,-48.78727
Cerdocyon thous,-22.67328,-46.96893
Lycalopex vetulus,-18.60493,-52.62696
Procyon cancrivorus,-28.41148,-51.635
Cerdocyon thous,-11.15581,-55.31466
Procyon cancrivorus,-8.262228,-49.4215
Conepatus chinga,-28.41703,-51.03719
Cerdocyon thous,-24.23252,-50.5542
Lontra longicaudis,-28.46781,-50.97059
Lycalopex vetulus,-3.77112,-42.28537
Procyon cancrivorus,-10.82173,-55.38195
Cerdocyon thous,-19.87602,-49.65407
Nasua nasua,-23.87639,-51.17142
Conepatus chinga,-30.15119,-50.24348
Leopardus sp.,-29.9659,-55.44303
Cerdocyon thous,-15.41101,-44.44928
Procyon cancrivorus,-30.08244,-50.17119
Puma concolor,-25.65829,-48.52263
Lontra longicaudis,-10.75485,-62.15966
Leopardus pardalis,-21.05079,-51.92306
Cerdocyon thous,-15.39973,-44.51445
Lontra longicaudis,-23.5934,-47.58035
Cerdocyon thous,-11.0987,-55.29706
Conepatus semistriatus,-18.58411,-52.62814
Nasua nasua,-19.65453,-43.25127
Nasua nasua,-24.28794,-50.5995
Cerdocyon thous,-23.55886,-51.11859
Cerdocyon thous,-12.26635,-38.3784
Cerdocyon thous,-19.61722,-45.64032
Cerdocyon thous,-29.28631,-50.84879
Cerdocyon thous,-18.51479,-40.36684
Leopardus guttulus,-27.9707,-52.02165
Conepatus sp.,-29.6667,-54.08061
Cerdocyon thous,-22.2365,-49.59106
Conepatus sp.,-30.17082,-52.22327
Galictis sp.,-20.64117,-46.85807
Nasua nasua,-20.64147,-46.85801
Cerdocyon thous,-33.60006,-53.33123
Cerdocyon thous,-33.60016,-53.33116
Procyon cancrivorus,-18.44741,-52.87213
Galictis sp.,-28.11861,-54.81333
Cerdocyon thous,-18.39837,-52.67954
Cerdocyon thous,-20.81427,-47.59901
Cerdocyon thous,-19.72887,-50.14373
Procyon cancrivorus,-24.62183,-53.91611
Cerdocyon thous,-19.35167,-49.62714
Lycalopex sp.,-12.89312,-43.89222
Cerdocyon thous,-20.81447,-47.59908
Procyon cancrivorus,-29.91629,-56.65883
Galictis sp.,-20.41185,-43.11031
Galictis cuja,-20.41194,-43.11033
Cerdocyon thous,-21.28514,-55.98308
Cerdocyon thous,-21.28514,-55.98306
Cerdocyon thous,-33.57673,-53.35851
Cerdocyon thous,-18.41231,-52.6321
Leopardus tigrinus,-6.224655,-37.04518
Cerdocyon thous,-16.19704,-57.38145
Lycalopex gymnocercus,-29.02767,-50.12575
Lycalopex sp.,-19.69783,-50.93141
Cerdocyon thous,-21.13777,-53.16463
Chrysocyon brachyurus,-19.43531,-51.36646
Conepatus semistriatus,-16.04662,-47.53865
Procyon cancrivorus,-18.47822,-52.6764
Cerdocyon thous,-21.09378,-53.87392
Procyon cancrivorus,-20.82217,-42.04693
Cerdocyon thous,-20.31633,-50.30371
Chrysocyon brachyurus,-19.43539,-51.36638
Cerdocyon thous,-19.14356,-44.32339
Cerdocyon thous,-20.3232,-50.30919
Cerdocyon thous,-16.03086,-52.35193
Cerdocyon thous,-13.19035,-44.06266
Leopardus colocolo,-16.82986,-42.00593
Cerdocyon thous,-16.33273,-54.9955
Chrysocyon brachyurus,-20.88581,-46.32355
Conepatus semistriatus,-18.16796,-53.13013
Galictis cuja,-21.25204,-50.86412
Eira barbara,-17.27185,-53.28903
Conepatus semistriatus,-18.40619,-52.69179
Conepatus semistriatus,-18.35892,-52.73842
Cerdocyon thous,-23.07336,-52.82228
Procyon cancrivorus,-20.19683,-56.44163
Cerdocyon thous,-17.84401,-51.92448
Cerdocyon thous,-18.85207,-50.84579
Cerdocyon thous,-19.29649,-49.99324
Procyon cancrivorus,-11.81119,-61.77959
Leopardus colocolo,-29.84798,-55.65586
Leopardus guttulus,-21.30281,-46.777589999999996
Leopardus sp.,-30.03686,-54.58677
Cerdocyon thous,-29.32175,-50.73791
Cerdocyon thous,-24.05293,-51.63409
Cerdocyon thous,-20.12074,-50.79117
Procyon cancrivorus,-21.82588,-53.84826
Cerdocyon thous,-15.70411,-52.70989
Cerdocyon thous,-24.06629,-51.64575
Lycalopex sp.,-22.85784,-53.22155
Cerdocyon thous,-22.2064,-44.08395
Cerdocyon thous,-18.15469,-49.9398
Cerdocyon thous,-18.31698,-49.48796
Cerdocyon thous,-18.31351,-49.49643
Cerdocyon thous,-18.30352,-49.51983
Cerdocyon thous,-24.07723,-51.65237
Herpailurus yagouaroundi,-15.55423,-47.55121
Cerdocyon thous,-5.047323,-42.51385
Cerdocyon thous,-23.2512,-51.40263
Chrysocyon brachyurus,-18.16344,-48.0084
Cerdocyon thous,-29.65069,-53.91893
Cerdocyon thous,-19.10082,-50.33159
Cerdocyon thous,-4.662657,-44.33607
Cerdocyon thous,-26.58636,-51.8019
Cerdocyon thous,-11.21466,-60.93563
Lycalopex sp.,-7.384362,-34.95717
Galictis cuja,-20.85963,-41.55905
Herpailurus yagouaroundi,-19.6796,-47.99513
Herpailurus yagouaroundi,-20.49185,-48.05095
Procyon cancrivorus,-26.31993,-51.02858
Cerdocyon thous,-19.10295,-50.32867
Procyon cancrivorus,-20.69904,-41.49496
Cerdocyon thous,-21.09469,-56.53968
Leopardus pardalis,-19.76067,-56.96355
Cerdocyon thous,-22.15528,-47.88386
Cerdocyon thous,-29.59862,-56.86419
Cerdocyon thous,-28.88078,-51.63082
Lycalopex gymnocercus,-30.22874,-52.68345
Cerdocyon thous,-3.670036,-39.05452
Chrysocyon brachyurus,-16.57248,-49.78426
Leopardus colocolo,-19.01942,-50.33111
Procyon cancrivorus,-5.05866,-37.15711
Cerdocyon thous,-7.434737,-40.00745
Herpailurus yagouaroundi,-21.20517,-47.28383
Conepatus chinga,-29.95078,-54.41983
Cerdocyon thous,-26.2677,-50.73597
Cerdocyon thous,-20.14439,-56.61624
Procyon cancrivorus,-26.70029,-51.57724
Nasua nasua,-26.29654,-50.90996
Cerdocyon thous,-30.02367,-54.54755
Lontra longicaudis,-26.29621,-50.92019
Conepatus semistriatus,-7.182833,-35.30425
Procyon cancrivorus,-29.65088,-54.54849
Nasua nasua,-7.637271,-47.75796
Cerdocyon thous,-29.58431,-55.20126
Cerdocyon thous,-21.67209,-47.60612
Cerdocyon thous,-20.18572,-48.15004
Cerdocyon thous,-4.267018,-40.28545
Nasua nasua,-16.65445,-54.35315
Cerdocyon thous,-20.16071,-56.57455
Lontra longicaudis,-21.78573,-48.23727
Conepatus semistriatus,-15.79289,-46.6026
Cerdocyon thous,-22.00007,-49.01556
Leopardus sp.,-20.9501,-41.04758
Cerdocyon thous,-24.72072,-51.76693
Galictis cuja,-33.46678,-53.28446
Lycalopex vetulus,-4.430026,-41.90151
Conepatus chinga,-33.37714,-53.19385
Cerdocyon thous,-4.434364,-41.90727
Cerdocyon thous,-33.24168,-53.06874
Lycalopex gymnocercus,-32.66159,-52.58943
Cerdocyon thous,-33.41673,-53.23498
Lontra longicaudis,-32.74352,-52.64461
Conepatus chinga,-32.75518,-52.65025
Leopardus sp.,-21.65305,-44.41614
Procyon cancrivorus,-32.24428,-52.49056
Lycalopex vetulus,-18.28875,-51.17357
Cerdocyon thous,-32.23363,-52.47926
Lycalopex gymnocercus,-32.30568,-52.53464
Nasua nasua,-22.5211,-47.92605
Nasua nasua,-14.15142,-47.65113
Lycalopex sp.,-3.868347,-38.80329
Galictis cuja,-17.33647,-39.63056
Procyon cancrivorus,-7.721388,-63.0998
Conepatus chinga,-33.56032,-53.37096
Cerdocyon thous,-21.33055,-48.49038
Cerdocyon thous,-21.46573,-46.9291
Nasua nasua,-23.54534,-48.3115
Nasua nasua,-20.13566,-56.63918
Conepatus semistriatus,-16.93603,-44.84247
Leopardus colocolo,-20.14098,-56.62492
Cerdocyon thous,-12.45505,-38.92836
Herpailurus yagouaroundi,-14.11988,-42.42697
Chrysocyon brachyurus,-20.54057,-44.86534
Cerdocyon thous,-18.50157,-39.96706
Cerdocyon thous,-25.83595,-51.58638
Cerdocyon thous,-33.58608,-53.38283
Eira barbara,-21.28537,-44.37212
Cerdocyon thous,-11.62988,-47.68177
Procyon cancrivorus,-33.55175,-53.36436
Conepatus chinga,-33.61022,-53.31829
Cerdocyon thous,-3.238274,-39.66977
Chrysocyon brachyurus,-21.32091,-45.85528
Cerdocyon thous,-25.63604,-48.59325
Cerdocyon thous,-26.41565,-50.8519
Galictis cuja,-23.09099,-46.6171
Procyon cancrivorus,-26.94729,-51.26372
Cerdocyon thous,-23.04794,-44.63596
Lycalopex sp.,-7.511718,-40.47221
Lontra longicaudis,-29.89674,-51.61155
Chrysocyon brachyurus,-19.73704,-49.02518
Herpailurus yagouaroundi,-23.47461,-48.69051
Cerdocyon thous,-11.29039,-58.64322
Procyon cancrivorus,-22.2468,-49.5647
Cerdocyon thous,-3.770702,-40.28201
Cerdocyon thous,-21.04774,-44.13976
Nasua nasua,-27.22008,-51.53209
Procyon cancrivorus,-10.84752,-49.60658
Procyon cancrivorus,-10.84757,-49.60651
Leopardus sp.,-28.23537,-52.41545
Leopardus pardalis,-16.37501,-50.77906
Leopardus sp.,-27.75343,-53.70762
Cerdocyon thous,-3.873145,-41.1627
Cerdocyon thous,-20.30777,-43.70078
Galictis sp.,-21.32302,-44.40066
Herpailurus yagouaroundi,-27.67183,-54.57413
Conepatus semistriatus,-19.5058,-45.61217
Conepatus semistriatus,-19.52587,-45.61481
Conepatus chinga,-33.55356,-53.36605
Conepatus chinga,-33.55359,-53.36607
Chrysocyon brachyurus,-23.07034,-48.54053
Cerdocyon thous,-9.758017,-35.84301
Galictis cuja,-33.60787,-53.39989
Chrysocyon brachyurus,-22.65685,-47.44926
Conepatus semistriatus,-18.16915,-48.10887
Nasua nasua,-11.80508,-49.58089
Cerdocyon thous,-3.077204,-40.1628
Conepatus semistriatus,-18.14181,-48.05669
Conepatus semistriatus,-18.92811,-46.35555
Galictis cuja,-21.96485,-47.34254
Nasua nasua,-16.84832,-53.92891
Cerdocyon thous,-18.84264,-50.85778
Cerdocyon thous,-19.71738,-49.11333
Galictis cuja,-21.96484,-47.34255
Procyon cancrivorus,-17.6939,-52.19453
Galictis cuja,-21.68087,-44.47447
Cerdocyon thous,-30.05672,-51.48232
Cerdocyon thous,-3.892945,-38.83384
Cerdocyon thous,-25.99171,-53.60927
Procyon cancrivorus,-4.950604,-42.34878
Herpailurus yagouaroundi,-21.22195,-47.56638
Cerdocyon thous,-4.489784,-41.95245
Potos flavus,-6.064644,-49.93832
Leopardus guttulus,-20.95757,-44.89303
Lycalopex sp.,-8.807398,-39.9065
Cerdocyon thous,-21.25919,-51.90951
Nasua nasua,-16.09705,-56.5827
Nasua nasua,-16.67592,-54.30063
Herpailurus yagouaroundi,-15.85586,-56.40321
Cerdocyon thous,-16.75915,-54.26377
Nasua nasua,-16.64838,-54.39898
Cerdocyon thous,-6.423816,-49.97824
Cerdocyon thous,-18.30973,-39.72961
Nasua nasua,-21.00447,-44.82986
Conepatus chinga,-29.71821,-53.61918
Procyon cancrivorus,-29.7273,-53.57355
Cerdocyon thous,-7.16571,-39.60666
Procyon cancrivorus,-22.48745,-50.25078
Conepatus semistriatus,-16.80209,-54.10621
Conepatus semistriatus,-16.87194,-53.69138
Galictis cuja,-8.369249,-35.98444
Cerdocyon thous,-15.74452,-49.04505
Conepatus semistriatus,-6.203282,-42.10871
Procyon cancrivorus,-11.79282,-49.71466
Procyon cancrivorus,-18.29404,-52.61845
Cerdocyon thous,-26.51599,-53.51641
Cerdocyon thous,-30.09124,-52.36692
Procyon cancrivorus,-13.52348,-40.10171
Galictis cuja,-33.60247,-53.32825
Conepatus chinga,-33.60441,-53.32573
Chrysocyon brachyurus,-13.55166,-58.58356
Cerdocyon thous,-10.1876,-48.77491
Cerdocyon thous,-27.85033,-52.77972
Cerdocyon thous,-27.93276,-52.76141
Cerdocyon thous,-27.9268,-52.85303
Nasua nasua,-14.20436,-52.19122
Cerdocyon thous,-22.21127,-44.07513
Leopardus pardalis,-12.48917,-55.68257
Cerdocyon thous,-7.939391,-35.02624
Conepatus chinga,-30.02021,-56.28857
Lycalopex sp.,-30.01551,-56.22084
Cerdocyon thous,2.702092,-60.85204
Lycalopex sp.,-19.27454,-51.48982
Leopardus pardalis,-19.06034,-51.84409
Leopardus geoffroyi,-29.98132,-56.15318
Cerdocyon thous,-27.48888,-51.22633
Leopardus sp.,-29.90359,-52.39196
Cerdocyon thous,-19.66914,-48.77584
Cerdocyon thous,-19.6698,-48.77528
Cerdocyon thous,-20.43799,-53.2608
Cerdocyon thous,-21.55603,-42.18182
Cerdocyon thous,-19.74453,-48.97034
Cerdocyon thous,-29.77233,-50.08929
Nasua nasua,-24.30109,-50.61191
Cerdocyon thous,-30.03644,-54.58567
Lycalopex gymnocercus,-30.23367,-54.76542
Conepatus sp.,-30.20337,-55.072
Cerdocyon thous,-30.14071,-54.66707
Galictis cuja,-30.20337,-55.072
Cerdocyon thous,-12.96497,-60.02731
Conepatus chinga,-30.37761,-53.73163
Galictis cuja,-30.25388,-52.80047
Conepatus semistriatus,-19.78425,-45.7185
Cerdocyon thous,-20.14853,-56.60573
Nasua nasua,-20.20711,-56.42631
Procyon cancrivorus,-15.33755,-55.88732
Nasua nasua,-26.52057,-53.51721
Galictis sp.,-31.47819,-53.62674
Procyon cancrivorus,-30.15392,-55.18746
Leopardus sp.,-28.63475,-54.12361
Procyon cancrivorus,-15.58054,-47.37351
Procyon cancrivorus,-18.03432,-49.26603
Galictis sp.,-29.77055,-50.08243
Nasua nasua,-15.29948,-59.26372
Cerdocyon thous,-21.18174,-50.26606
Cerdocyon thous,-14.16533,-47.6215
Cerdocyon thous,-10.63652,-55.50595
Cerdocyon thous,-29.07331,-51.76205
Conepatus sp.,-19.77806,-48.48356
Cerdocyon thous,2.785287,-60.73214
Procyon cancrivorus,-20.19708,-56.44111
Cerdocyon thous,-31.59393,-53.33714
Nasua nasua,-28.68403,-51.72935
Galictis cuja,-28.59309,-51.92065
Chrysocyon brachyurus,-19.74073,-45.84564
